Cruci_CruV_372	MT263617	2761287	Crucivirus-372	100.000	3974	0.0	7339
Cruci_CruV_372	MT263617	2761287	Crucivirus-372	92.857	70	4.54e-15	100
Cruci_CruV_372	MT263617	2761287	Crucivirus-372	92.857	70	4.54e-15	100
Cruci_CruV_372	MT263616	2761286	Crucivirus-371	99.510	3467	0.0	6307
Cruci_CruV_372	MT263616	2761286	Crucivirus-371	97.250	509	0.0	856
Cruci_CruV_372	MT263616	2761286	Crucivirus-371	92.857	70	4.54e-15	100
Cruci_CruV_372	MT263616	2761286	Crucivirus-371	92.857	70	4.54e-15	100
Cruci_CruV_372	MT263621	2761291	Crucivirus-387	84.262	1131	0.0	1092
Cruci_CruV_372	MT263621	2761291	Crucivirus-387	77.345	565	2.47e-82	324
Cruci_CruV_372	MT263621	2761291	Crucivirus-387	89.256	121	1.60e-29	148
Cruci_CruV_372	MT263621	2761291	Crucivirus-387	74.490	294	2.10e-18	111
Cruci_CruV_372	MT201494	1954248	Circoviridae sp.	82.192	146	3.48e-21	121
Cruci_CruV_372	CP115465	3015999	Brevundimonas sp. NIBR11	100.000	35	1.66e-04	65.8
Cruci_CruV_372	OZ125809	2952	Symbiodinium pilosum	97.143	35	0.008	60.2
Cruci_CruV_372	OZ125808	2952	Symbiodinium pilosum	97.143	35	0.008	60.2
Cruci_CruV_372	OU964918	2771288	Aplidium turbinatum	100.000	32	0.008	60.2
